timestamp,test_number,call_sid,call_status,call_duration_s,recording_sid,recording_duration_s,audio_ok,result,plantonist_called,plantonist_call_sid,notes
2026-06-09T11:15:05,+558532351133,CA900bd12eeda6fc6191643eada424d642,completed,61,RE32f5aafc2d0c7c199dc1e802a113abd2,60,True,pass,False,,
2026-06-09T11:17:07,+558532351133,CA3179d2e3a6f8e1ca67039f94397503d1,completed,60,REb2ff08ca2aa03bdcdf30fe0f05a8f320,60,True,pass,False,,
2026-06-09T11:18:50,+558532351133,CAecccaba3e66363596d6f14aa573ebd0b,completed,30,REee98b24771891029ed834c2ac4184938,30,True,pass,False,,
